owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,commit_id,commit_message,badge
jimbrig,.obsidian,jimbrig/.obsidian,1,1,0,0,FALSE,https://github.com/jimbrig/.obsidian,1,NA,NA,NA
jimbrig,actuarial,jimbrig/actuarial,0,1,0,0,FALSE,https://github.com/jimbrig/actuarial,0,204e7e9b7f4de7b7070a4ff148af09d5794afbb7,Add GitHub links to DESCRIPTION,[![](https://github.com/jimbrig/actuarial/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/actuarial/actions/runs/2271101030)
jimbrig,actuarialapp,jimbrig/actuarialapp,1,1,3,0,FALSE,https://github.com/jimbrig/actuarialapp,NA,13e6699f7531327286b4e0e06bac182c66736c09,Update README.md,[![](https://github.com/jimbrig/actuarialapp/workflows/R-CMD-check/badge.svg)](https://github.com/jimbrig/actuarialapp/actions/runs/2309208102) [![](https://github.com/jimbrig/actuarialapp/workflows/Generate%20CHANGELOG.md/badge.svg)](https://github.com/jimbrig/actuarialapp/actions/runs/2309208104) [![](https://github.com/jimbrig/actuarialapp/workflows/pkgdown/badge.svg)](https://github.com/jimbrig/actuarialapp/actions/runs/2309208103) [![](https://github.com/jimbrig/actuarialapp/workflows/test-coverage/badge.svg)](https://github.com/jimbrig/actuarialapp/actions/runs/2309208115)
jimbrig,actuarialapp,jimbrig/actuarialapp,1,1,3,0,FALSE,https://github.com/jimbrig/actuarialapp,NA,9f4a80d2a96f57d276b6d3e1e68ef15cacfeb73a,"Merge pull request #20 from jimbrig/develop

bug: fix codecov",[![](https://github.com/jimbrig/actuarialapp/workflows/test-coverage/badge.svg)](https://github.com/jimbrig/actuarialapp/actions/runs/2309014546)
jimbrig,addinslist,jimbrig/addinslist,1,2,0,0,FALSE,https://github.com/jimbrig/addinslist,1,NA,NA,NA
jimbrig,angular-example,jimbrig/angular-example,0,1,0,0,FALSE,https://github.com/jimbrig/angular-example,0,NA,NA,NA
jimbrig,arsenal,jimbrig/arsenal,1,0,0,0,FALSE,https://github.com/jimbrig/arsenal,1,NA,NA,NA
jimbrig,browsr,jimbrig/browsr,1,1,0,0,FALSE,https://github.com/jimbrig/browsr,1,NA,NA,NA
jimbrig,buildtools,jimbrig/buildtools,1,1,2,0,FALSE,https://github.com/jimbrig/buildtools,NA,d3856c2305b98cddf5e58f6802c6d5cbaf40aad5,"Merge pull request #6 from jimbrig/develop

SysReqs, PkgDeps, and Docker",[![](https://github.com/jimbrig/buildtools/workflows/test-coverage/badge.svg)](https://github.com/jimbrig/buildtools/actions/runs/2445939700)
jimbrig,choco-packages,jimbrig/choco-packages,0,1,0,0,FALSE,https://github.com/jimbrig/choco-packages,0,NA,NA,NA
jimbrig,claim-pm,jimbrig/claim-pm,0,0,0,0,FALSE,https://github.com/jimbrig/claim-pm,0,NA,NA,NA
jimbrig,claimPM,jimbrig/claimPM,1,1,0,0,FALSE,https://github.com/jimbrig/claimPM,1,67bba0479f1733537b2055b0c7df85c7b03000eb,Rename index.htm to index.html,[![](https://github.com/jimbrig/claimPM/workflows/Build%20Site/badge.svg)](https://github.com/jimbrig/claimPM/actions/runs/1309985309)
jimbrig,clip2mark,jimbrig/clip2mark,1,1,0,0,FALSE,https://github.com/jimbrig/clip2mark,1,63e5908d289bcda88f0edb25ee61ae18f4c82590,"Merge pull request #3 from jimbrig/dependabot/npm_and_yarn/api/minimist-1.2.6

Bump minimist from 1.2.5 to 1.2.6 in /api",[![](https://github.com/jimbrig/clip2mark/workflows/Node.js%20CI/badge.svg)](https://github.com/jimbrig/clip2mark/actions/runs/2080034696)
jimbrig,clip2mark,jimbrig/clip2mark,1,1,0,0,FALSE,https://github.com/jimbrig/clip2mark,1,f00866aa3cfbd15c9bdd3a1b2e5ee912eb8957bf,Update README.md,[![](https://github.com/jimbrig/clip2mark/workflows/Mark%20stale%20issues%20and%20pull%20requests/badge.svg)](https://github.com/jimbrig/clip2mark/actions/runs/1875854639)
jimbrig,clip2mark-site,jimbrig/clip2mark-site,0,1,0,0,FALSE,https://github.com/jimbrig/clip2mark-site,0,NA,NA,NA
